group,function,value,sample_time_nanos,iteration_count
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,81075041.0,29
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,154453331.0,58
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,232911393.0,87
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,309485624.0,116
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,393045736.0,145
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,472394770.0,174
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,551630875.0,203
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,629245792.0,232
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,711278591.0,261
"[f301ee6] Fid::from(""00...(repeated N-times)"")",,524288,790280123.0,290
