group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::select(N) 1000 times,,262144,55896990.0,43
[f301ee6] Fid::select(N) 1000 times,,262144,112091188.0,86
[f301ee6] Fid::select(N) 1000 times,,262144,165922936.0,129
[f301ee6] Fid::select(N) 1000 times,,262144,221561523.0,172
[f301ee6] Fid::select(N) 1000 times,,262144,280473237.0,215
[f301ee6] Fid::select(N) 1000 times,,262144,333368807.0,258
[f301ee6] Fid::select(N) 1000 times,,262144,387729836.0,301
[f301ee6] Fid::select(N) 1000 times,,262144,445740337.0,344
[f301ee6] Fid::select(N) 1000 times,,262144,503994686.0,387
[f301ee6] Fid::select(N) 1000 times,,262144,556857177.0,430
