group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::select(N) 1000 times,,65536,74908141.0,69
[f301ee6] Fid::select(N) 1000 times,,65536,150343496.0,138
[f301ee6] Fid::select(N) 1000 times,,65536,225243111.0,207
[f301ee6] Fid::select(N) 1000 times,,65536,300817679.0,276
[f301ee6] Fid::select(N) 1000 times,,65536,374082162.0,345
[f301ee6] Fid::select(N) 1000 times,,65536,453397969.0,414
[f301ee6] Fid::select(N) 1000 times,,65536,528089228.0,483
[f301ee6] Fid::select(N) 1000 times,,65536,598685592.0,552
[f301ee6] Fid::select(N) 1000 times,,65536,675264898.0,621
[f301ee6] Fid::select(N) 1000 times,,65536,750947136.0,690
