group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::rank0(N) 1000000 times,,131072,124840580.0,2
[f301ee6] Fid::rank0(N) 1000000 times,,131072,249177574.0,4
[f301ee6] Fid::rank0(N) 1000000 times,,131072,374131095.0,6
[f301ee6] Fid::rank0(N) 1000000 times,,131072,501725327.0,8
[f301ee6] Fid::rank0(N) 1000000 times,,131072,623165722.0,10
[f301ee6] Fid::rank0(N) 1000000 times,,131072,748216075.0,12
[f301ee6] Fid::rank0(N) 1000000 times,,131072,876110983.0,14
[f301ee6] Fid::rank0(N) 1000000 times,,131072,994551190.0,16
[f301ee6] Fid::rank0(N) 1000000 times,,131072,1126339902.0,18
[f301ee6] Fid::rank0(N) 1000000 times,,131072,1246563357.0,20
